ID,division,crime_category,crime,report_count
30233,D12,Property Offense,Theft,5
30234,D13,Other,Other,9
30235,D12,Property Offense,Break & Enter,1
30236,D12,Personal Offense,Robbery,13
30237,D12,Property Offense,Theft,3
30238,D13,Other,Other,5
30239,D12,Property Offense,Break & Enter,22
30240,D12,Personal Offense,Robbery,2
30241,D12,Property Offense,Theft,11
30242,D13,Other,Other,56
30243,D12,Property Offense,Break & Enter,1
30244,D12,Personal Offense,Robbery,22
30245,D12,Personal Offense,Robbery,5
30246,D12,Personal Offense,Sexual Violation,15
30247,D12,Personal Offense,Sexual Violation,21
30248,D12,Personal Offense,Sexual Violation,4
30249,D12,Personal Offense,Sexual Violation,13
30250,D12,Personal Offense,Sexual Violation,8
30251,D12,Personal Offense,Sexual Violation,13
30252,D12,Personal Offense,Sexual Violation,1
30253,D12,Personal Offense,Sexual Violation,3
30254,D12,Personal Offense,Sexual Violation,16
30255,D12,Personal Offense,Sexual Violation,13
30256,D12,Personal Offense,Sexual Violation,35
30257,D12,Personal Offense,Sexual Violation,2
30258,D12,Traffic Violation,Other,12
30259,D12,Traffic Violation,Other,20
30260,D12,Traffic Violation,Other,1
30261,D12,Traffic Violation,Other,8
30262,D12,Traffic Violation,Other,12
30263,D12,Traffic Violation,Other,5
30264,D12,Traffic Violation,Other,9
30265,D12,Traffic Violation,Other,3
30266,D12,Traffic Violation,Other,19
30267,D12,Traffic Violation,Other,1
30268,D12,Traffic Violation,Other,12
30269,D12,Traffic Violation,Other,4
30270,D12,Other,Other,36
30271,D12,Property Offense,Break & Enter,1
30272,D13,Other,Other,44
30273,D12,Property Offense,Break & Enter,3
30274,D12,Property Offense,Theft,5
30275,D13,Other,Other,17
30276,D12,Property Offense,Break & Enter,4
30277,D12,Property Offense,Theft,9
30278,D13,Other,Other,3
30279,D12,Property Offense,Break & Enter,7
30280,D12,Property Offense,Theft,90
30281,D13,Other,Other,4
30282,D12,Property Offense,Break & Enter,2
30283,D12,Property Offense,Theft,385
30284,D13,Other,Other,2
30285,D12,Property Offense,Break & Enter,9
30286,D12,Property Offense,Theft,136
30287,D13,Other,Other,2
30288,D12,Property Offense,Theft,114
30289,D13,Other,Other,2
30290,D12,Property Offense,Theft,32
30291,D12,Property Offense,Break & Enter,2
30292,D13,Other,Other,3
30293,D12,Property Offense,Theft,77
30294,D12,Property Offense,Break & Enter,4
30295,D13,Other,Other,1
30296,D12,Property Offense,Theft,6
30297,D12,Property Offense,Break & Enter,4
30298,D13,Other,Other,1
30299,D12,Property Offense,Theft,371
30300,D12,Property Offense,Break & Enter,2
30301,D13,Other,Other,11
30302,D12,Property Offense,Theft,160
30303,D12,Property Offense,Break & Enter,2
30304,D13,Other,Other,11
30305,D12,Property Offense,Theft,42
30306,D12,Property Offense,Break & Enter,1
30307,D13,Other,Other,8
30308,D12,Property Offense,Theft,176
30309,D12,Property Offense,Break & Enter,2
30310,D13,Other,Other,1
30311,D12,Property Offense,Theft,19
30312,D12,Property Offense,Break & Enter,2
30313,D13,Other,Other,1
30314,D12,Personal Offense,Assault,61
30315,D12,Property Offense,Break & Enter,1
30316,D13,Other,Other,1
30317,D12,Personal Offense,Assault,141
30318,D12,Property Offense,Break & Enter,1
30319,D14,Controlled Substances,Other,6
30320,D12,Personal Offense,Assault,16
30321,D12,Property Offense,Break & Enter,2
30322,D14,Controlled Substances,Other,2
30323,D12,Personal Offense,Assault,91
30324,D12,Property Offense,Break & Enter,7
30325,D14,Controlled Substances,Other,2
30326,D12,Personal Offense,Assault,42
30327,D12,Property Offense,Break & Enter,2
30328,D14,Controlled Substances,Other,14
30329,D12,Personal Offense,Assault,105
30330,D14,Controlled Substances,Other,5
